,0.5_AUC,0.5_F1,0.5_MCC,0.5_AUC,0.5_F1,0.5_MCC,custom_AUC,custom_F1,custom_MCC,custom_AUC,custom_F1,custom_MCC,FRS_Threshold,CHEL_Threshold
AO_p60,0.6443638646856102,0.5769828926905133,0.22228573154190395,0.5416141765348115,0.0,-0.0209571007124557,0.6443638646856102,0.5769828926905133,0.22228573154190395,0.5416141765348115,0.10144927536231883,0.05744833099146493,0.556,0.26999999999999996
AO_p70,0.7475697379543533,0.6710239651416123,0.3548919488632018,0.647564924460868,0.061224489795918366,0.05639855026005942,0.7475697379543533,0.6710239651416123,0.3548919488632018,0.647564924460868,0.21621621621621617,0.17388718900280406,0.556,0.272
AO_p80,0.7589590513037259,0.6914660831509847,0.3973589546225632,0.7232533617013335,0.20183486238532108,0.20505620803882652,0.7589590513037259,0.6914660831509847,0.3973589546225632,0.7232533617013335,0.3068181818181818,0.2617217365566789,0.556,0.248
AO_p90,0.7784458514857924,0.7090252707581228,0.4266091354438361,0.7634631355971744,0.2777777777777778,0.29899894515061154,0.7784458514857924,0.6290322580645161,0.42760290388652583,0.7634631355971744,0.3771428571428571,0.3370473441307113,0.732,0.288
